Birdlife_Name,Jetz_Name
Abeillia abeillei,Abeillia_abeillei
Abroscopus albogularis,Abroscopus_albogularis
Abroscopus schisticeps,Abroscopus_schisticeps
Abroscopus superciliaris,Abroscopus_superciliaris
Aburria aburri,Aburria_aburri
Acanthagenys rufogularis,Acanthagenys_rufogularis
Acanthidops bairdi,Acanthidops_bairdii
Acanthisitta chloris,Acanthisitta_chloris
Acanthiza apicalis,Acanthiza_apicalis
Acanthiza chrysorrhoa,Acanthiza_chrysorrhoa
Acanthiza ewingii,Acanthiza_ewingii
Acanthiza inornata,Acanthiza_inornata
Acanthiza iredalei,Acanthiza_iredalei
Acanthiza katherina,Acanthiza_katherina
Acanthiza lineata,Acanthiza_lineata
Acanthiza murina,Acanthiza_murina
Acanthiza nana,Acanthiza_nana
Acanthiza pusilla,Acanthiza_pusilla
Acanthiza reguloides,Acanthiza_reguloides
Acanthiza robustirostris,Acanthiza_robustirostris
Acanthiza uropygialis,Acanthiza_uropygialis
Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus
Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris
Acanthornis magna,Acanthornis_magna
Accipiter albogularis,Accipiter_albogularis
Accipiter badius,Accipiter_badius
Accipiter bicolor,Accipiter_bicolor
Accipiter brachyurus,Accipiter_brachyurus
Accipiter brevipes,Accipiter_brevipes
Accipiter butleri,Accipiter_butleri
Accipiter castanilius,Accipiter_castanilius
Accipiter bicolor,Accipiter_chilensis
Accipiter striatus,Accipiter_chionogaster
Accipiter cirrocephalus,Accipiter_cirrocephalus
Accipiter collaris,Accipiter_collaris
Accipiter cooperii,Accipiter_cooperii
Accipiter erythrauchen,Accipiter_erythrauchen
Accipiter striatus,Accipiter_erythronemius
Accipiter erythropus,Accipiter_erythropus
Accipiter fasciatus,Accipiter_fasciatus
Accipiter francesiae,Accipiter_francesiae
Accipiter gentilis,Accipiter_gentilis
Accipiter griseiceps,Accipiter_griseiceps
Accipiter gularis,Accipiter_gularis
Accipiter gundlachi,Accipiter_gundlachi
Accipiter haplochrous,Accipiter_haplochrous
Accipiter henicogrammus,Accipiter_henicogrammus
Accipiter henstii,Accipiter_henstii
Accipiter hiogaster,Accipiter_hiogaster
Accipiter imitator,Accipiter_imitator
Accipiter luteoschistaceus,Accipiter_luteoschistaceus
Accipiter madagascariensis,Accipiter_madagascariensis
Accipiter melanochlamys,Accipiter_melanochlamys
Accipiter melanoleucus,Accipiter_melanoleucus
Accipiter meyerianus,Accipiter_meyerianus
Accipiter minullus,Accipiter_minullus
Accipiter nanus,Accipiter_nanus
Accipiter nisus,Accipiter_nisus
Accipiter novaehollandiae,Accipiter_novaehollandiae
Accipiter ovampensis,Accipiter_ovampensis
Accipiter poliocephalus,Accipiter_poliocephalus
Accipiter poliogaster,Accipiter_poliogaster
Accipiter princeps,Accipiter_princeps
Accipiter rhodogaster,Accipiter_rhodogaster
Accipiter rufitorques,Accipiter_rufitorques
Accipiter rufiventris,Accipiter_rufiventris
Accipiter soloensis,Accipiter_soloensis
Accipiter striatus,Accipiter_striatus
Accipiter superciliosus,Accipiter_superciliosus
Accipiter sylvestris,Accipiter_sylvestris
Accipiter tachiro,Accipiter_tachiro
Accipiter toussenelii,Accipiter_toussenelii
Accipiter trinotatus,Accipiter_trinotatus
Accipiter trivirgatus,Accipiter_trivirgatus
Accipiter striatus,Accipiter_ventralis
Accipiter virgatus,Accipiter_virgatus
Rhyticeros cassidix,Aceros_cassidix
Rhabdotorrhinus corrugatus,Aceros_corrugatus
Rhabdotorrhinus leucocephalus,Aceros_leucocephalus
Aceros nipalensis,Aceros_nipalensis
Rhabdotorrhinus waldeni,Aceros_waldeni
Achaetops pycnopygius,Achaetops_pycnopygius
Acridotheres albocinctus,Acridotheres_albocinctus
Acridotheres burmannicus,Acridotheres_burmannicus
Acridotheres leucocephalus,Acridotheres_burmannicus
Acridotheres cinereus,Acridotheres_cinereus
Acridotheres cristatellus,Acridotheres_cristatellus
Acridotheres fuscus,Acridotheres_fuscus
Acridotheres ginginianus,Acridotheres_ginginianus
Acridotheres grandis,Acridotheres_grandis
Acridotheres javanicus,Acridotheres_javanicus
Acridotheres tricolor,Acridotheres_melanopterus
Acridotheres melanopterus,Acridotheres_melanopterus
Acridotheres tertius,Acridotheres_melanopterus
Acridotheres tristis,Acridotheres_tristis
Acritillas indica,Acritillas_indica
Acrobatornis fonsecai,Acrobatornis_fonsecai
Arundinax aedon,Acrocephalus_aedon
Acrocephalus aequinoctialis,Acrocephalus_aequinoctialis
Acrocephalus agricola,Acrocephalus_agricola
Acrocephalus arundinaceus,Acrocephalus_arundinaceus
Acrocephalus atyphus,Acrocephalus_atyphus
Acrocephalus australis,Acrocephalus_australis
Acrocephalus scirpaceus,Acrocephalus_baeticatus
Acrocephalus bistrigiceps,Acrocephalus_bistrigiceps
Acrocephalus brevipennis,Acrocephalus_brevipennis
Acrocephalus musae,Acrocephalus_caffer
Acrocephalus longirostris,Acrocephalus_caffer
Acrocephalus caffer,Acrocephalus_caffer
Acrocephalus concinens,Acrocephalus_concinens
Acrocephalus dumetorum,Acrocephalus_dumetorum
Acrocephalus familiaris,Acrocephalus_familiaris
Acrocephalus gracilirostris,Acrocephalus_gracilirostris
Acrocephalus griseldis,Acrocephalus_griseldis
Acrocephalus kerearako,Acrocephalus_kerearako
Acrocephalus yamashinae,Acrocephalus_luscinius
Acrocephalus hiwae,Acrocephalus_luscinius
Acrocephalus nijoi,Acrocephalus_luscinius
